moisture,temp,ts
2893,32.6875,1726229672769,0.71,68.79
2882,32.6875,1726229674853,0.70,69.56
2885,32.625,1726229676934,0.70,69.35
2895,32.625,1726229679014,0.71,68.65
2891,32.625,1726229681101,0.71,68.93
2910,32.625,1726229683177,0.71,67.62
2890,32.6875,1726229685256,0.71,69.00
2899,32.625,1726229687422,0.71,68.38
2890,32.625,1726229689516,0.71,69.00
1323,32.6875,1726229691607,0.32,306.48
2834,32.625,1726229693690,0.69,72.96
2835,32.625,1726229695769,0.69,72.89
2829,32.625,1726229697873,0.69,73.32
2833,32.6875,1726229699951,0.69,73.03
2828,32.6875,1726229702030,0.69,73.39
2831,32.6875,1726229704111,0.69,73.18
2831,32.6875,1726229706189,0.69,73.18
2835,32.625,1726229708269,0.69,72.89
2837,32.6875,1726229710397,0.69,72.74
2837,32.6875,1726229712479,0.69,72.74
2838,32.6875,1726229714555,0.69,72.67
2829,32.6875,1726229716636,0.69,73.32
2832,32.625,1726229718716,0.69,73.11
2833,32.625,1726229721000,0.69,73.03
2819,32.625,1726229723080,0.69,74.05
2832,32.6875,1726229725157,0.69,73.11
2839,32.6875,1726229727236,0.69,72.60
2831,32.6875,1726229729319,0.69,73.18
2829,32.625,1726229731446,0.69,73.32
2833,32.625,1726229733528,0.69,73.03
2833,32.6875,1726229735607,0.69,73.03
2822,32.6875,1726229737685,0.69,73.83
2819,32.6875,1726229739764,0.69,74.05
2825,32.625,1726229741851,0.69,73.61
2832,32.625,1726229743939,0.69,73.11
2834,32.6875,1726229746017,0.69,72.96
2832,32.6875,1726229748094,0.69,73.11
2827,32.6875,1726229750172,0.69,73.47
2823,32.6875,1726229752257,0.69,73.76
2830,32.625,1726229754336,0.69,73.25
2830,32.625,1726229756647,0.69,73.25
2831,32.625,1726229758722,0.69,73.18
2832,32.6875,1726229760802,0.69,73.11
2832,32.6875,1726229762883,0.69,73.11
2821,32.6875,1726229764962,0.69,73.90
2826,32.625,1726229767043,0.69,73.54
2830,32.625,1726229769123,0.69,73.25
2831,32.625,1726229771204,0.69,73.18
2836,32.625,1726229773436,0.69,72.82
2832,32.6875,1726229775514,0.69,73.11
2837,32.6875,1726229777593,0.69,72.74
2846,32.6875,1726229779678,0.69,72.10
2832,32.6875,1726229781759,0.69,73.11
2826,32.625,1726229783841,0.69,73.54
2833,32.625,1726229785923,0.69,73.03
2834,32.625,1726229788001,0.69,72.96
2837,32.6875,1726229790078,0.69,72.74
2832,32.6875,1726229792157,0.69,73.11
2812,32.625,1726229794241,0.69,74.56
2817,32.625,1726229796321,0.69,74.19
2835,32.625,1726229798402,0.69,72.89
2833,32.625,1726229800742,0.69,73.03
2832,32.6875,1726229802822,0.69,73.11
2835,32.625,1726229804904,0.69,72.89
2832,32.625,1726229806985,0.69,73.11
2842,32.625,1726229809067,0.69,72.39
2832,32.625,1726229811150,0.69,73.11
2833,32.6875,1726229813232,0.69,73.03
2833,32.6875,1726229815311,0.69,73.03
2829,32.6875,1726229817397,0.69,73.32
2822,32.625,1726229819477,0.69,73.83
2832,32.5625,1726229821558,0.69,73.11
2837,32.625,1726229823644,0.69,72.74
2843,32.6875,1726229825724,0.69,72.31
2829,32.6875,1726229827805,0.69,73.32
2832,32.625,1726229829972,0.69,73.11
2827,32.625,1726229832053,0.69,73.47
2833,32.6875,1726229834132,0.69,73.03
2833,32.6875,1726229836216,0.69,73.03
2822,32.625,1726229838303,0.69,73.83
2827,32.625,1726229840383,0.69,73.47
2832,32.5625,1726229842465,0.69,73.11
2817,32.625,1726229844546,0.69,74.19
2833,32.6875,1726229846624,0.69,73.03
2834,32.5625,1726229848814,0.69,72.96
2830,32.625,1726229850894,0.69,73.25
2832,32.6875,1726229852974,0.69,73.11
2832,32.6875,1726229855057,0.69,73.11
2829,32.625,1726229857402,0.69,73.32
2832,32.625,1726229859664,0.69,73.11
2830,32.625,1726229861742,0.69,73.25
2843,32.6875,1726229863822,0.69,72.31
2829,32.625,1726229866023,0.69,73.32
2823,32.625,1726229868105,0.69,73.76
2832,32.625,1726229870183,0.69,73.11
2829,32.6875,1726229872264,0.69,73.32
2834,32.625,1726229874345,0.69,72.96
2832,32.5625,1726229876651,0.69,73.11
2832,32.625,1726229878733,0.69,73.11
2832,32.625,1726229880812,0.69,73.11
2815,32.6875,1726229882895,0.69,74.34
2832,32.5625,1726229885050,0.69,73.11
2829,32.625,1726229887130,0.69,73.32
2820,32.625,1726229889209,0.69,73.98
2832,32.625,1726229891294,0.69,73.11
2837,32.625,1726229893381,0.69,72.74
2821,32.5625,1726229895460,0.69,73.90
2832,32.625,1726229897540,0.69,73.11
2837,32.5625,1726229899623,0.69,72.74
2835,32.625,1726229901703,0.69,72.89
2837,32.625,1726229903785,0.69,72.74
2832,32.5625,1726229905943,0.69,73.11
2833,32.625,1726229908023,0.69,73.03
2832,32.625,1726229910106,0.69,73.11
2841,32.6875,1726229912186,0.69,72.46
2826,32.625,1726229914268,0.69,73.54
2829,32.625,1726229916349,0.69,73.32
2829,32.625,1726229918431,0.69,73.32
2834,32.625,1726229920684,0.69,72.96
2817,32.625,1726229922765,0.69,74.19
2834,32.625,1726229924842,0.69,72.96
2847,32.6875,1726229926922,0.70,72.03
2828,32.625,1726229929000,0.69,73.39
2826,32.625,1726229931081,0.69,73.54
2835,32.625,1726229933165,0.69,72.89
2820,32.625,1726229935247,0.69,73.98
2831,32.6875,1726229937327,0.69,73.18
2832,32.6875,1726229939406,0.69,73.11
2826,32.6875,1726229941489,0.69,73.54
2815,32.625,1726229943575,0.69,74.34
2838,32.625,1726229945659,0.69,72.67
2834,32.625,1726229947742,0.69,72.96
2829,32.6875,1726229950036,0.69,73.32
2838,32.625,1726229952224,0.69,72.67
2837,32.625,1726229954304,0.69,72.74
2833,32.6875,1726229956382,0.69,73.03
2835,32.625,1726229958462,0.69,72.89
2836,32.5625,1726229960622,0.69,72.82
2832,32.625,1726229962705,0.69,73.11
2832,32.6875,1726229964784,0.69,73.11
2820,32.6875,1726229966886,0.69,73.98
2827,32.625,1726229968969,0.69,73.47
2839,32.625,1726229971054,0.69,72.60
2828,32.625,1726229973137,0.69,73.39
2832,32.625,1726229975219,0.69,73.11
2832,32.6875,1726229977306,0.69,73.11
2827,32.625,1726229979467,0.69,73.47
2846,32.625,1726229981813,0.69,72.10
2832,32.625,1726229983970,0.69,73.11
2832,32.625,1726229986048,0.69,73.11
2827,32.625,1726229988125,0.69,73.47
2834,32.6875,1726229990201,0.69,72.96
2821,32.625,1726229992365,0.69,73.90
2829,32.625,1726229994444,0.69,73.32
2832,32.625,1726229996525,0.69,73.11
2832,32.6875,1726229998606,0.69,73.11
2839,32.625,1726230000758,0.69,72.60
2827,32.625,1726230002842,0.69,73.47
2829,32.6875,1726230004919,0.69,73.32
2834,32.625,1726230006997,0.69,72.96
2832,32.625,1726230009191,0.69,73.11
2830,32.625,1726230011266,0.69,73.25
2823,32.6875,1726230013344,0.69,73.76
2826,32.6875,1726230015424,0.69,73.54
2827,32.625,1726230017507,0.69,73.47
2831,32.625,1726230019584,0.69,73.18
2834,32.625,1726230021661,0.69,72.96
2827,32.625,1726230023740,0.69,73.47
2832,32.625,1726230025816,0.69,73.11
2822,32.625,1726230027895,0.69,73.83
2823,32.625,1726230029987,0.69,73.76
2828,32.5625,1726230032064,0.69,73.39
2832,32.625,1726230034144,0.69,73.11
2829,32.625,1726230036224,0.69,73.32
2833,32.625,1726230038299,0.69,73.03
2837,32.625,1726230040379,0.69,72.74
2826,32.5625,1726230042555,0.69,73.54
2831,32.625,1726230044631,0.69,73.18
2832,32.625,1726230046718,0.69,73.11
2833,32.625,1726230048796,0.69,73.03
2827,32.5625,1726230050875,0.69,73.47
2829,32.5625,1726230052953,0.69,73.32
2837,32.5625,1726230055032,0.69,72.74
2829,32.5625,1726230057113,0.69,73.32
2832,32.625,1726230059194,0.69,73.11
2837,32.625,1726230061276,0.69,72.74
2822,32.625,1726230063359,0.69,73.83
2816,32.625,1726230065438,0.69,74.27
2832,32.5625,1726230067519,0.69,73.11
2831,32.5625,1726230069599,0.69,73.18
2828,32.625,1726230071678,0.69,73.39
2854,32.5625,1726230073895,0.70,71.53
2825,32.5625,1726230075972,0.69,73.61
2838,32.625,1726230078050,0.69,72.67
2834,32.5625,1726230080230,0.69,72.96
2832,32.625,1726230082306,0.69,73.11
2832,32.625,1726230084399,0.69,73.11
2834,32.625,1726230086480,0.69,72.96
2823,32.5625,1726230088554,0.69,73.76
2818,32.5625,1726230090650,0.69,74.12
2836,32.5625,1726230092730,0.69,72.82
2841,32.625,1726230094808,0.69,72.46
2830,32.625,1726230096898,0.69,73.25
2821,32.625,1726230098977,0.69,73.90
2817,32.5625,1726230101057,0.69,74.19
2829,32.5625,1726230103138,0.69,73.32
2830,32.5625,1726230105216,0.69,73.25
2835,32.5625,1726230107295,0.69,72.89
2836,32.625,1726230109381,0.69,72.82
2832,32.625,1726230111459,0.69,73.11
2830,32.625,1726230113540,0.69,73.25
2829,32.5625,1726230115631,0.69,73.32
2832,32.625,1726230117737,0.69,73.11
2825,32.5625,1726230119957,0.69,73.61
2848,32.5625,1726230122035,0.70,71.96
2832,32.625,1726230124114,0.69,73.11
2829,32.625,1726230126203,0.69,73.32
2830,32.5625,1726230128351,0.69,73.25
2833,32.5625,1726230130432,0.69,73.03
2832,32.625,1726230132506,0.69,73.11
2830,32.625,1726230134585,0.69,73.25
2821,32.625,1726230136664,0.69,73.90
2832,32.5625,1726230138831,0.69,73.11
2826,32.625,1726230140915,0.69,73.54
2830,32.625,1726230142995,0.69,73.25
2829,32.5625,1726230145074,0.69,73.32
2831,32.5625,1726230147150,0.69,73.18
2832,32.5625,1726230149274,0.69,73.11
2839,32.5625,1726230151350,0.69,72.60
2838,32.625,1726230153428,0.69,72.67
2826,32.625,1726230155508,0.69,73.54
2819,32.5625,1726230157589,0.69,74.05
2832,32.5625,1726230159683,0.69,73.11
2830,32.5625,1726230162032,0.69,73.25
2829,32.5625,1726230164111,0.69,73.32
2831,32.5625,1726230166192,0.69,73.18
2823,32.5625,1726230168271,0.69,73.76
2835,32.5625,1726230170358,0.69,72.89
2831,32.5625,1726230172440,0.69,73.18
2832,32.5625,1726230174520,0.69,73.11
2832,32.5625,1726230176707,0.69,73.11
2839,32.5625,1726230178787,0.69,72.60
2835,32.5625,1726230180867,0.69,72.89
2825,32.5625,1726230182945,0.69,73.61
2825,32.5,1726230185285,0.69,73.61
2832,32.5625,1726230187367,0.69,73.11
2833,32.5625,1726230189445,0.69,73.03
2832,32.625,1726230191523,0.69,73.11
2816,32.625,1726230193603,0.69,74.27
2831,32.625,1726230195734,0.69,73.18
2831,32.5625,1726230197814,0.69,73.18
2818,32.625,1726230199904,0.69,74.12
2832,32.625,1726230201985,0.69,73.11
2825,32.5625,1726230204066,0.69,73.61
2834,32.5625,1726230206184,0.69,72.96
2829,32.5625,1726230208274,0.69,73.32
2834,32.625,1726230210352,0.69,72.96
2831,32.625,1726230212435,0.69,73.18
2823,32.5625,1726230214525,0.69,73.76
2833,32.5625,1726230216606,0.69,73.03
2836,32.5625,1726230218687,0.69,72.82
2832,32.625,1726230220774,0.69,73.11
2832,32.625,1726230222853,0.69,73.11
2827,32.625,1726230224932,0.69,73.47
